コード(都道府県),コード(路線),都道府県名,路線名
10,4001,北海道(札幌方面),北海道縦貫自動車道函館名寄線上り
10,4002,北海道(札幌方面),北海道縦貫自動車道函館名寄線下り
10,4003,北海道(札幌方面),北海道縦貫自動車道函館名寄線上り
10,4004,北海道(札幌方面),北海道縦貫自動車道函館名寄線下り
10,4011,北海道(札幌方面),北海道横断自動車道根室線上り
10,4012,北海道(札幌方面),北海道横断自動車道根室線下り
10,4013,北海道(札幌方面),北海道横断自動車道根室線上り
10,4014,北海道(札幌方面),北海道横断自動車道根室線下り
10,4015,北海道(札幌方面),北海道横断自動車道倶知安端野線上り
10,4016,北海道(札幌方面),北海道横断自動車道倶知安端野線下り
10,4017,北海道(札幌方面),北海道横断自動車道黒松内釧路線上り
10,4018,北海道(札幌方面),北海道横断自動車道黒松内釧路線下り
10,5001,北海道(札幌方面),日高自動車道上り
10,5002,北海道(札幌方面),日高自動車道下り
11,4001,北海道(函館方面),北海道縦貫自動車道函館名寄線上り
11,4002,北海道(函館方面),北海道縦貫自動車道函館名寄線下り
11,4003,北海道(函館方面),北海道縦貫自動車道函館名寄線上り
11,4004,北海道(函館方面),北海道縦貫自動車道函館名寄線下り
11,4011,北海道(函館方面),北海道横断自動車道根室線上り
11,4012,北海道(函館方面),北海道横断自動車道根室線下り
11,4013,北海道(函館方面),北海道横断自動車道根室線上り
11,4014,北海道(函館方面),北海道横断自動車道根室線下り
11,4015,北海道(函館方面),北海道横断自動車道倶知安端野線上り
11,4016,北海道(函館方面),北海道横断自動車道倶知安端野線下り
11,4017,北海道(函館方面),北海道横断自動車道黒松内釧路線上り
11,4018,北海道(函館方面),北海道横断自動車道黒松内釧路線下り
11,5009,北海道(函館方面),黒松内新道上り
11,5010,北海道(函館方面),黒松内新道下り
12,4001,北海道(旭川方面),北海道縦貫自動車道函館名寄線上り
12,4002,北海道(旭川方面),北海道縦貫自動車道函館名寄線下り
12,4003,北海道(旭川方面),北海道縦貫自動車道函館名寄線上り
12,4004,北海道(旭川方面),北海道縦貫自動車道函館名寄線下り
12,4011,北海道(旭川方面),北海道横断自動車道根室線上り
12,4012,北海道(旭川方面),北海道横断自動車道根室線下り
12,4013,北海道(旭川方面),北海道横断自動車道根室線上り
12,4014,北海道(旭川方面),北海道横断自動車道根室線下り
12,4015,北海道(旭川方面),北海道横断自動車道倶知安端野線上り
12,4016,北海道(旭川方面),北海道横断自動車道倶知安端野線下り
12,4017,北海道(旭川方面),北海道横断自動車道黒松内釧路線上り
12,4018,北海道(旭川方面),北海道横断自動車道黒松内釧路線下り
12,5003,北海道(旭川方面),深川留萌自動車道上り
12,5004,北海道(旭川方面),深川留萌自動車道下り
12,5007,北海道(旭川方面),旭川紋別自動車道上り
12,5008,北海道(旭川方面),旭川紋別自動車道下り
13,4001,北海道(釧路方面),北海道縦貫自動車道函館名寄線上り
13,4002,北海道(釧路方面),北海道縦貫自動車道函館名寄線下り
13,4003,北海道(釧路方面),北海道縦貫自動車道函館名寄線上り
13,4004,北海道(釧路方面),北海道縦貫自動車道函館名寄線下り
13,4011,北海道(釧路方面),北海道横断自動車道根室線上り
13,4012,北海道(釧路方面),北海道横断自動車道根室線下り
13,4013,北海道(釧路方面),北海道横断自動車道根室線上り
13,4014,北海道(釧路方面),北海道横断自動車道根室線下り
13,4015,北海道(釧路方面),北海道横断自動車道網走線上り
13,4016,北海道(釧路方面),北海道横断自動車道網走線下り
13,4017,北海道(釧路方面),北海道横断自動車道黒松内釧路線上り
13,4018,北海道(釧路方面),北海道横断自動車道黒松内釧路線下り
13,5005,北海道(釧路方面),帯広広尾自動車道上り
13,5006,北海道(釧路方面),帯広広尾自動車道下り
14,4001,北海道(北見方面),北海道縦貫自動車道函館名寄線上り
14,4002,北海道(北見方面),北海道縦貫自動車道函館名寄線下り
14,4003,北海道(北見方面),北海道縦貫自動車道函館名寄線上り
14,4004,北海道(北見方面),北海道縦貫自動車道函館名寄線下り
14,4011,北海道(北見方面),北海道横断自動車道根室線上り
14,4012,北海道(北見方面),北海道横断自動車道根室線下り
14,4013,北海道(北見方面),北海道横断自動車道根室線上り
14,4014,北海道(北見方面),北海道横断自動車道根室線下り
14,4015,北海道(北見方面),北海道横断自動車道網走線上り
14,4017,北海道(北見方面),北海道横断自動車道黒松内釧路線上り
14,4018,北海道(北見方面),北海道横断自動車道黒松内釧路線下り
14,5007,北海道(北見方面),旭川紋別自動車道上り
14,5008,北海道(北見方面),旭川紋別自動車道下り
14,5011,北海道(北見方面),一般国道39号(北見道路)
14,5012,北海道(北見方面),一般国道39号(北見道路)
20,4101,青森,東北縦貫自動車道弘前線上り
20,4102,青森,東北縦貫自動車道弘前線下り
20,4103,青森,東北縦貫自動車道八戸線上り
20,4104,青森,東北縦貫自動車道八戸線下り
20,4105,青森,東北縦貫自動車道八戸線上り
20,4106,青森,東北縦貫自動車道八戸線下り
20,5001,青森,百石道路上り
20,5002,青森,百石道路下り
20,5003,青森,青森東インター線上り
20,5004,青森,青森東インター線下り
20,5005,青森,主要地方道八戸野辺地線第二みちのく有料道路上り
20,5006,青森,主要地方道八戸野辺地線第二みちのく有料道路下り
20,5007,青森,一般国道45号上北道路上り
20,5008,青森,一般国道45号上北道路下り
20,5020,青森,一般国道45号三陸沿岸道路上り
20,5021,青森,一般国道45号三陸沿岸道路下り
21,4101,岩手,東北縦貫自動車道弘前線上り
21,4102,岩手,東北縦貫自動車道弘前線下り
21,4103,岩手,東北縦貫自動車道八戸線上り
21,4104,岩手,東北縦貫自動車道八戸線下り
21,4111,岩手,東北横断自動車道釜石秋田線上り
21,4112,岩手,東北横断自動車道釜石秋田線下り
21,4113,岩手,東北横断自動車道釜石秋田線上り
21,4114,岩手,東北横断自動車道釜石秋田線下り
21,5010,岩手,東北横断自動車道釜石秋田線(指定自動車専用道路)上り
21,5011,岩手,東北横断自動車道釜石秋田線(指定自動車専用道路)下り
21,5020,岩手,三陸沿岸道路上り
21,5021,岩手,三陸沿岸道路下り
21,5050,岩手,宮古西道路
21,5051,岩手,宮古西道路
22,4101,宮城,東北縦貫自動車道弘前線上り
22,4102,宮城,東北縦貫自動車道弘前線下り
22,4115,宮城,東北横断自動車道酒田線上り
22,4116,宮城,東北横断自動車道酒田線下り
22,4211,宮城,常磐自動車道東京亘理線上り
22,4212,宮城,常磐自動車道東京亘理線下り
22,5003,宮城,仙台西道路上り
22,5004,宮城,仙台西道路下り
22,5005,宮城,仙台東部道路上り
22,5006,宮城,仙台東部道路下り
22,5007,宮城,三陸縦貫自動車道上り
22,5008,宮城,三陸縦貫自動車道下り
22,5009,宮城,仙台南インター線上り
22,5010,宮城,仙台南インター線下り
22,5011,宮城,仙台北部道路上り
22,5012,宮城,仙台北部道路下り
22,5013,宮城,相馬福島道路上り
22,5014,宮城,相馬福島道路下り
23,4101,秋田,東北縦貫自動車道弘前線上り
23,4102,秋田,東北縦貫自動車道弘前線下り
23,4111,秋田,東北横断自動車道釜石秋田線上り
23,4112,秋田,東北横断自動車道釜石秋田線下り
23,4125,秋田,日本海沿岸東北自動車道象潟秋田線上り
23,4126,秋田,日本海沿岸東北自動車道象潟秋田線下り
23,4127,秋田,日本海沿岸東北自動車道秋田琴丘線上り
23,4128,秋田,日本海沿岸東北自動車道秋田琴丘線下り
23,4129,秋田,日本海沿岸東北自動車道大館青森線上り
23,4130,秋田,日本海沿岸東北自動車道大館青森線下り
23,5001,秋田,湯沢横手道路上り
23,5002,秋田,湯沢横手道路下り
23,5003,秋田,秋田外環状道路上り
23,5004,秋田,秋田外環状道路下り
23,5005,秋田,琴丘能代道路上り
23,5006,秋田,琴丘能代道路下り
23,5007,秋田,大曲西道路上り
23,5008,秋田,大曲西道路下り
23,5010,秋田,仁賀保本荘道路下り
23,5011,秋田,象潟仁賀保道路上り
23,5012,秋田,象潟仁賀保道路下り
23,5013,秋田,自動車専用道路一般国道7号大館西道路上り
23,5014,秋田,自動車専用走路一般国道7号大館西道路下り
23,5015,秋田,鷹巣大館道路上り
23,5016,秋田,鷹巣大館道路下り
23,5017,秋田,一般国道7号鷹巣西道路上り
23,5018,秋田,一般国道7号鷹巣西道路下り
24,4115,山形,東北横断自動車道酒田線上り
24,4116,山形,東北横断自動車道酒田線下り
24,4123,山形,日本海沿岸東北自動車道温海鶴岡線上り
24,4124,山形,日本海沿岸東北自動車道温海鶴岡線下り
24,4141,山形,東北中央自動車道福島米沢線上り
24,4142,山形,東北中央自動車道福島米沢線下り
24,4143,山形,東北中央自動車道高畠尾花沢線上り
24,4144,山形,東北中央自動車道高畠尾花沢線下り
